Artist and Title,Streams,Daily
Eminem - Mockingbird,"1,305,696,679","1,355,148"
Manuel Turizo - La Bachata,"1,297,007,038","1,723,657"
Calvin Harris - Summer,"1,296,045,927","611,450"
Jonas Brothers - Sucker,"1,294,550,504","474,300"
Sam Smith - Unholy,"1,293,724,062","1,224,408"
SZA - Kill Bill,"1,293,388,846","2,624,438"
Lil Baby - Drip Too Hard (Lil Baby & Gunna),"1,293,026,587","792,836"
Calvin Harris - We Found Love,"1,289,286,111","1,255,957"
Bad Bunny - Yonaguni,"1,288,446,186","573,979"
Bebe Rexha - Meant to Be,"1,288,207,646","375,413"
Rihanna - Needed Me,"1,287,757,957","640,552"
Khalid - Location,"1,286,124,885","310,535"
"Train - Hey, Soul Sister","1,285,666,512","645,710"
XXXTENTACION - Look At Me!,"1,285,470,205","533,058"
XXXTENTACION - changes,"1,282,815,867","301,238"
Bruno Mars - 24K Magic,"1,281,533,565","538,704"
Ariana Grande - positions,"1,279,857,542","573,694"
The Starlite Singers - Party In The U.S.A.,"1,279,512,306","927,049"
Offset - Ric Flair Drip,"1,278,863,050","727,301"
MAGIC! - Rude,"1,278,607,749","650,477"
Arctic Monkeys - 505,"1,277,138,458","1,339,045"
Olivia Rodrigo - traitor,"1,277,052,620","1,133,769"
Rihanna - Work,"1,275,788,741","364,801"
Alessia Cara - Scars To Your Beautiful,"1,275,785,800","552,156"
Tears For Fears - Everybody Wants To Rule The World,"1,272,283,502","1,450,261"
The Weeknd - Save Your Tears,"1,269,656,703","1,052,387"
Selena Gomez - Wolves,"1,267,850,079","326,411"
Imagine Dragons - Enemy,"1,267,146,687","960,302"
"Snoop Dogg - Young, Wild & Free","1,266,902,148","630,900"
Imagine Dragons - Enemy feat. J.I.D. (from the series Arcane League of Legends),"1,266,186,385","912,238"
Logic - 1-800-273-8255,"1,266,167,225","262,396"
Eminem - Love The Way You Lie,"1,265,314,257","732,552"
Coldplay - Fix You,"1,260,069,599","635,227"
Rihanna - Umbrella,"1,259,637,141","1,058,004"
Milky Chance - Stolen Dance,"1,259,064,274","673,732"
Pitbull - Timber,"1,258,542,848","679,746"
Tyga - Taste,"1,257,465,612","355,807"
Ariana Grande - One Last Time,"1,255,447,052","777,627"
Daddy Yankee - Con Calma,"1,253,749,257","395,111"
AC/DC - Thunderstruck,"1,251,406,548","764,022"
Zara Larsson - Lush Life,"1,250,117,797","458,783"
Pharrell Williams - Happy,"1,246,338,233","492,000"
Ariana Grande - no tears left to cry,"1,245,548,662","310,181"
50 Cent - In Da Club,"1,244,539,292","972,474"
Dr. Dre - Still D.R.E.,"1,242,893,888","717,303"
Khalid - Better,"1,241,659,035","381,065"
Ed Sheeran - Happier,"1,240,327,708","322,261"
Maroon 5 - She Will Be Loved,"1,240,104,665","591,701"
Kanye West - Stronger,"1,237,328,950","583,430"
Ed Sheeran - Castle on the Hill,"1,235,164,453","396,375"
XXXTENTACION - Hope,"1,234,886,396","669,088"
Avicii - Waiting For Love,"1,234,013,934","656,398"
Rihanna - Love On The Brain,"1,231,009,108","786,125"
JAY-Z - Ni**as In Paris,"1,230,146,305","718,806"
Drake - Hotline Bling,"1,230,069,787","401,144"
Adele - Set Fire to the Rain,"1,228,624,143","1,418,903"
Bad Bunny - MIA,"1,228,354,680","371,805"
Internet Money - Lemonade,"1,228,128,263","388,725"
Regard - Ride It,"1,227,343,645","476,558"
Cardi B - WAP,"1,225,417,019","435,209"
Katy Perry - Dark Horse,"1,224,625,209","740,308"
Justin Bieber - Ghost,"1,221,853,254","1,182,187"
Backstreet Boys - I Want It That Way,"1,218,889,659","705,767"
Jessie J - Bang Bang,"1,216,857,065","414,531"
Shawn Mendes - Mercy,"1,215,656,628","439,967"
The Script - Hall of Fame,"1,215,554,988","726,705"
Coldplay - A Sky Full of Stars,"1,213,695,523","923,157"
Axwell /\ Ingrosso - More Than You Know,"1,211,123,719","483,214"
Sam Smith - Dancing With A Stranger,"1,210,910,808","541,111"
Eminem - Godzilla,"1,209,640,888","614,155"
Ed Sheeran - Galway Girl,"1,208,951,858","393,896"
Jhayco - No Me Conoce,"1,208,322,726","642,189"
Ariana Grande - Into You,"1,208,081,032","558,190"
ZAYN - PILLOWTALK,"1,207,719,052","390,491"
Tate McRae - you broke me first,"1,207,171,617","583,177"
Coldplay - Hymn for the Weekend,"1,203,312,105","669,935"
David Guetta - I'm Good (Blue),"1,200,625,837","1,808,708"
Lil Mosey - Blueberry Faygo,"1,200,195,126","330,421"
DJ Khaled - I'm the One,"1,197,688,953","199,709"
Creedence Clearwater Revival - Have You Ever Seen The Rain,"1,197,401,374","1,234,693"
Juice WRLD - Robbery,"1,193,305,507","404,135"
Rauw Alejandro - Todo De Ti,"1,192,924,977","513,418"
Gorillaz - Feel Good Inc.,"1,192,541,497","777,994"
"G-Eazy - Me, Myself & I","1,192,268,295","300,596"
Maroon 5 - Moves Like Jagger,"1,191,038,820","943,123"
Lil Tecca - Ransom,"1,189,913,318","522,628"
Bad Bunny - Ojitos Lindos,"1,189,675,431","1,154,579"
Red Hot Chili Peppers - Under the Bridge,"1,188,736,292","645,613"
Red Hot Chili Peppers - Californication,"1,187,674,335","646,246"
Kings of Leon - Sex on Fire,"1,186,523,133","742,226"
One Direction - Night Changes,"1,185,014,744","1,120,241"
Clean Bandit - Rather Be,"1,184,985,979","439,431"
blackbear - hot girl bummer,"1,184,419,653","317,465"
Metallica - Enter Sandman (Remastered),"1,183,005,213","837,242"
Ruth B. - Dandelions,"1,182,523,426","1,328,311"
Black Eyed Peas - I Gotta Feeling,"1,180,031,998","848,816"
MKTO - Classic,"1,178,930,923","553,845"
OneRepublic - I Ain't Worried,"1,172,958,809","1,656,704"
Maroon 5 - Animals,"1,172,767,045","650,770"
Taylor Swift - Shake It Off,"1,172,298,005","1,159,281"
Wham! - Last Christmas,"1,167,727,669","238,464"
Drake - Nice For What,"1,167,500,353","563,088"
Travis Scott - BUTTERFLY EFFECT,"1,167,447,151","482,017"
Portugal. The Man - Feel It Still,"1,166,554,344","476,979"
Maluma - HawÃ¡i,"1,165,937,773","480,598"
Major Lazer - Light It Up,"1,165,160,891","396,784"
The Neighbourhood - Daddy Issues,"1,164,497,890","805,175"
BTS - Butter,"1,162,174,447","371,404"
Martin Garrix - Scared to Be Lonely,"1,160,657,554","318,783"
Post Malone - Goodbyes,"1,160,362,513","452,501"
Billie Eilish - ocean eyes,"1,157,272,259","748,895"
Masked Wolf - Astronaut In The Ocean,"1,157,134,798","392,538"
Lynyrd Skynyrd - Sweet Home Alabama,"1,155,841,973","578,790"
Kendrick Lamar - Money Trees,"1,154,497,662","1,288,675"
Zedd - Stay,"1,152,516,192","284,037"
Snow Patrol - Chasing Cars,"1,149,067,872","559,250"
Joji - SLOW DANCING IN THE DARK,"1,148,679,528","580,352"
Keane - Somewhere Only We Know,"1,146,585,980","1,190,181"
Rihanna - Diamonds,"1,146,442,680","1,216,419"
Bruno Mars - Leave The Door Open,"1,144,743,431","690,644"
Carly Rae Jepsen - Call Me Maybe,"1,141,449,008","835,527"
R.E.M. - Losing My Religion,"1,139,234,586","821,004"
"Tyler, The Creator - See You Again","1,138,659,839","1,824,339"
Outkast - Hey Ya!,"1,138,625,845","671,939"
Adele - When We Were Young,"1,136,485,141","535,740"
Desiigner - Panda,"1,134,710,811","182,938"
Hailee Steinfeld - Starving,"1,133,881,133","207,180"
Future - Life Is Good,"1,132,993,826","448,500"
J. Cole - MIDDLE CHILD,"1,132,964,652","630,940"
Julia Michaels - Issues,"1,131,897,737","334,434"
Gym Class Heroes - Stereo Hearts,"1,131,517,123","875,159"
Maroon 5 - What Lovers Do,"1,125,590,948","262,942"
Eurythmics - Sweet Dreams (Are Made of This),"1,123,299,958","669,420"
Kendrick Lamar - LOVE. FEAT. ZACARI.,"1,121,077,891","729,341"
Doja Cat - Say So,"1,118,021,431","319,256"
Robin Schulz - Sugar,"1,115,074,539","341,476"
P!nk - Just Give Me a Reason,"1,111,920,440","561,717"
Queen - We Will Rock You,"1,110,190,755","591,437"
Rihanna - Stay,"1,106,961,168","779,154"
System Of A Down - Chop Suey!,"1,106,423,551","802,667"
Nio Garcia - Te BotÃ©,"1,106,229,900","294,141"
Survivor - Eye of the Tiger,"1,105,121,837","630,715"
Taylor Swift - Anti-Hero,"1,104,773,147","2,102,595"
The Chainsmokers - Paris,"1,104,509,434","316,083"
Anuel AA - China,"1,103,684,316","315,589"
James Bay - Let It Go,"1,102,036,308","326,818"
Billie Eilish - Happier Than Ever,"1,101,456,608","889,171"
Bruno Mars - Talking to the Moon,"1,100,232,252","898,549"
Joel Corry - Head & Heart,"1,099,933,515","403,280"
Coldplay - My Universe,"1,099,735,535","741,010"
Daniel Caesar - Best Part,"1,099,696,239","720,065"
Marvin Gaye - Ain't No Mountain High Enough,"1,098,647,558","935,255"
Pedro CapÃ³ - Calma,"1,098,501,032","231,568"
Demi Lovato - Sorry Not Sorry,"1,098,407,569","225,697"
Calum Scott - Dancing On My Own,"1,096,616,870","452,478"
Bad Bunny - Efecto,"1,093,128,898","973,810"
Unknown - Ain't No Mountain High Enough,"1,093,090,522","911,088"
Selena Gomez - Lose You To Love Me,"1,092,055,527","543,420"
Lorde - Royals,"1,091,240,504","534,454"
Coldplay - Paradise,"1,090,722,477","722,870"
Justin Bieber - Intentions,"1,089,738,762","335,219"
Pitbull - Time of Our Lives,"1,087,497,000","583,180"
Unknown - Time Of Our Lives,"1,086,404,194","493,329"
Meek Mill - Going Bad,"1,085,442,992","441,293"
Bruno Mars - Grenade,"1,084,566,094","812,737"
The Beatles - Here Comes The Sun,"1,083,000,824","729,899"
TiÃ«sto - The Business,"1,082,540,755","460,812"
Dua Lipa - Break My Heart,"1,081,284,054","393,405"
Imagine Dragons - Whatever It Takes,"1,081,161,593","588,008"
BTS - Boy With Luv (Feat. Halsey),"1,080,627,277","303,415"
Capital Cities - Safe And Sound,"1,077,811,792","722,198"
The Lumineers - Ho Hey,"1,077,468,817","715,870"
Imagine Dragons - Natural,"1,077,432,235","549,285"
Creedence Clearwater Revival - Fortunate Son,"1,076,069,162","999,148"
One Direction - Story of My Life,"1,074,570,442","588,678"
Bryson Tiller - Don't,"1,073,822,987","701,882"
Fetty Wap - Trap Queen,"1,073,279,120","360,341"
21 Savage - Bank Account,"1,071,239,813","320,831"
USHER - Yeah!,"1,071,187,268","643,666"
Nirvana - Come As You Are,"1,070,301,894","736,795"
Doja Cat - Need to Know,"1,065,318,755","491,368"
XXXTENTACION - Revenge,"1,064,519,805","892,201"
Topic - Breaking Me,"1,063,617,486","264,169"
Lady Gaga - Always Remember Us This Way,"1,061,347,664","715,922"
The Lumineers - Ophelia,"1,060,826,848","745,835"
Loud Luxury - Body,"1,060,304,826","418,570"
Jawsh 685 - Savage Love (Laxed,"1,060,238,371","250,038"
Jason Derulo - Swalla,"1,058,655,756","205,058"
The Fray - How to Save a Life,"1,058,600,361","440,735"
Lil Wayne - Sucker for Pain,"1,057,505,682","238,983"
Kate Bush - Running Up That Hill (A Deal With God),"1,057,104,160","683,928"
Jonas Blue - Fast Car,"1,055,394,292","321,451"
Lana Del Rey - Summertime Sadness,"1,054,887,019","1,563,208"
Harry Styles - Falling,"1,053,435,960","628,628"
Macklemore & Ryan Lewis - Thrift Shop,"1,051,365,396","620,320"
ABBA - Dancing Queen,"1,049,764,730","807,418"
Post Malone - White Iverson,"1,049,161,156","349,343"
J. Cole - Wet Dreamz,"1,048,195,593","787,205"
A$AP Rocky - Praise The Lord (Da Shine),"1,047,728,369","683,674"
Fall Out Boy - Centuries,"1,046,692,508","438,227"
Calvin Harris - Feels,"1,046,459,947","302,971"
Jack Ã - Where Are Ã Now,"1,046,320,667","187,704"
Rudimental - These Days,"1,042,656,475","292,414"
Taylor Swift - Cruel Summer,"1,038,788,694","5,236,130"
Joji - Glimpse of Us,"1,035,322,243","989,318"
Hailee Steinfeld - Let Me Go,"1,033,079,353","252,715"
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),"1,032,262,788","592,523"
GAYLE - abcdefu,"1,031,198,765","493,433"
Pop Smoke - For The Night,"1,030,771,697","364,508"
Britney Spears - Toxic,"1,030,290,895","664,915"
Kygo - Firestone,"1,030,000,244","293,089"
One Direction - What Makes You Beautiful,"1,028,529,110","752,831"
Kendrick Lamar - DNA.,"1,027,623,905","420,322"
Dire Straits - Sultans Of Swing,"1,025,741,894","634,440"
Lady Gaga - Poker Face,"1,025,740,316","820,219"
Lil Peep - Falling Down,"1,025,087,565","395,124"
Bryan Adams - Summer Of '69,"1,022,954,170","646,824"
Ali Gatie - It's You,"1,022,020,241","358,499"
Rihanna - FourFiveSeconds,"1,021,514,607","364,881"
The Walters - I Love You So,"1,019,632,092","972,309"
DJ Khaled - Wild Thoughts,"1,018,969,082","373,094"
Duncan Laurence - Arcade,"1,018,714,502","558,014"
Lady Gaga - Bad Romance,"1,016,115,432","621,793"
Drake - Nonstop,"1,015,597,725","438,400"
Guns N' Roses - Welcome To The Jungle,"1,014,929,204","618,165"
JP Saxe - If the World Was Ending,"1,014,381,552","461,980"
Lost Frequencies - Where Are You Now,"1,012,959,981","838,153"
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners),"1,010,969,949","398,240"
Calvin Harris - How Deep Is Your Love,"1,007,270,144","396,276"
Kodaline - All I Want,"1,007,123,597","430,530"
Miguel - Sure Thing,"1,006,109,481","1,229,987"
Metallica - Nothing Else Matters (Remastered),"1,005,698,192","581,090"
One Direction - Drag Me Down,"1,004,090,330","368,576"
Ariana Grande - Stuck with U,"1,002,837,517","416,170"
Pop Smoke - What You Know Bout Love,"1,002,508,735","511,088"
